city,temperature,humidity,weather,datetime
Chennai,30.43,87,Clouds,2025-08-07T16:10:43.108638
Coimbatore,25.61,86,Clouds,2025-08-07T16:10:43.108694
Madurai,27.68,77,Clouds,2025-08-07T16:10:43.108718
Tiruchirappalli,29.59,65,Clouds,2025-08-07T16:10:43.108735
Tirunelveli,28.78,64,Clouds,2025-08-07T16:10:43.108751
Salem,27.72,77,Clouds,2025-08-07T16:10:43.108765
Erode,27.8,74,Clouds,2025-08-07T16:10:43.108779
Vellore,29.79,72,Clouds,2025-08-07T16:10:43.108793
Dindigul,26.51,84,Rain,2025-08-07T16:10:43.108808
Cuddalore,29.88,77,Clouds,2025-08-07T16:10:43.108822
Thanjavur,29.13,72,Clouds,2025-08-07T16:10:43.108838
Thoothukudi,29.23,67,Clouds,2025-08-07T16:10:43.108852
Karur,27.91,73,Clouds,2025-08-07T16:10:43.108868
Kanniyākumāri,26.1,83,Clouds,2025-08-07T16:10:43.108883
Krishnagiri,27.74,73,Clouds,2025-08-07T16:10:43.108898
Namakkal,27.26,80,Clouds,2025-08-07T16:10:43.108913
Ramanathapuram,28.23,76,Clouds,2025-08-07T16:10:43.108927
Tirupur,26.43,81,Clouds,2025-08-07T16:10:43.108942
Thiruvarur,28.06,79,Clouds,2025-08-07T16:10:43.108957
Pudukkottai,28.11,78,Clouds,2025-08-07T16:10:43.108970
